TIEMPOS MULTIPLICACION DE MATRICES SERIAL
tiempo total	tiempo total al cuadrado
2.43065	5.90805
2.34672	5.5071
2.35199	5.53186
2.26447	5.12782
2.28884	5.23877
2.28102	5.20307
2.2593	5.10445
2.27333	5.16802
2.27158	5.16009
2.29153	5.25111
2.27746	5.1868
2.33826	5.46746
2.33704	5.46176
2.29056	5.24664
2.30348	5.30603
2.29688	5.27564
2.29657	5.27422
2.30891	5.33107
2.32155	5.38961
2.26482	5.12939
2.27943	5.19581
2.27269	5.16514
2.2852	5.22216
2.28615	5.22647
2.28138	5.2047
2.30819	5.32773
2.3068	5.32134
2.28625	5.22696
2.29005	5.24435
2.29745	5.27828
2.26532	5.13168
2.3052	5.31396
2.28117	5.20373
2.26626	5.13594
2.28803	5.23508
2.28126	5.20413
2.3537	5.53992
2.2793	5.19522
2.27028	5.15418
2.30054	5.29249
2.27746	5.18684
2.30815	5.32757
2.27662	5.183
2.2968	5.27528
2.27954	5.1963
2.31079	5.33973
2.30312	5.30438
2.2795	5.1961
2.28622	5.22678
2.30437	5.31011
