TIEMPOS MULTIPLICACION DE MATRICES SERIAL
tiempo total	tiempo total al cuadrado
9.08077	82.4604
8.76468	76.8196
8.70064	75.7012
8.39276	70.4384
8.28083	68.5722
8.27586	68.4899
8.48075	71.9231
8.41947	70.8875
8.2636	68.2871
8.24763	68.0234
8.57432	73.519
8.51625	72.5266
8.27411	68.4609
8.5633	73.3302
8.67655	75.2825
8.43532	71.1546
8.57047	73.453
9.17444	84.1704
8.334	69.4555
8.78324	77.1452
9.28075	86.1323
9.11556	83.0934
9.04075	81.7351
8.64104	74.6677
8.16467	66.6619
8.17401	66.8144
8.18454	66.9867
9.1676	84.045
8.80738	77.5699
9.29729	86.4397
8.56196	73.3072
8.61416	74.2038
8.20655	67.3474
8.74119	76.4085
8.49131	72.1023
8.15757	66.5459
8.44615	71.3375
9.10244	82.8545
8.13952	66.2518
8.48531	72.0005
8.16682	66.697
8.15009	66.424
8.15034	66.428
8.16163	66.6122
8.15053	66.4311
8.19285	67.1228
8.15901	66.5694
8.16984	66.7464
8.16243	66.6253
8.15966	66.58
